claim_id,section,subsection,surface,statistic_type,token_form,token,parsed_value,decimals_quoted,aggregation_unit,source_alias,source_artifact_id,json_pointer,generated_value,abs_delta,tolerance_rule,flag,flag_reason,resolution_confidence,external_literature,derived_now_generated,source_sha256,sentence
C0010,Abstract,,abstract,interval,count,33,33.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/per_member_table/6/judged_refusal_k,33.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0011,Abstract,,abstract,interval,real,-0.016,-0.016,3,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/new_members_only_Delta_A/member_level/delta,-0.016219382428103724,0.00021938242810372321,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"First, scaling a lexical-invariance refit of a published activation-based safety scanner from 19 checkpoints over 7 weight lineages to 52 over 28 lineages and 11 architecture families collapses its criterion-validity gain from +0.296 to +0.099 with a confidence interval covering zero; an independently authored paraphrase set gives -0.152; and the effect is localised exactly, with the archived 19 m"
C0012,Abstract,,abstract,correlation,count,30,30.0,0,axis-pair,E2,art_1xT3w1joqeJ8,/metadata/results/sanity_panel/n_D_members,30.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Second, measuring detection and induction in both roles of the same five axes on 30 checkpoints, scored on each model's own spontaneous text rather than on an archived, partly steered item pool, reverses our previously reported within-axis dissociation: 20 members READ, one is ambiguous, nine are undefined for want of spontaneous refusals, and zero are at chance, with the two roles correlated at r"
C0013,Abstract,,abstract,correlation,count,20,20.0,0,axis-pair,E2,art_1xT3w1joqeJ8,/metadata/results/h1_abliterated_arm/per_member/0/n_layers,20.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Second, measuring detection and induction in both roles of the same five axes on 30 checkpoints, scored on each model's own spontaneous text rather than on an archived, partly steered item pool, reverses our previously reported within-axis dissociation: 20 members READ, one is ambiguous, nine are undefined for want of spontaneous refusals, and zero are at chance, with the two roles correlated at r"
C0014,Abstract,,abstract,correlation,real,0.629,0.629,3,axis-pair,E2,art_1xT3w1joqeJ8,/metadata/results/h3_joint_scatter/rho_primary,0.6289337765071601,6.622349283991191e-05,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Second, measuring detection and induction in both roles of the same five axes on 30 checkpoints, scored on each model's own spontaneous text rather than on an archived, partly steered item pool, reverses our previously reported within-axis dissociation: 20 members READ, one is ambiguous, nine are undefined for want of spontaneous refusals, and zero are at chance, with the two roles correlated at r"
C0015,Abstract,,abstract,correlation,interval,0.465,0.465,3,axis-pair,E2,art_1xT3w1joqeJ8,/metadata/results/h3_joint_scatter/ci95_lineage_bootstrap/0,0.4647695660247376,0.00023043397526240073,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Second, measuring detection and induction in both roles of the same five axes on 30 checkpoints, scored on each model's own spontaneous text rather than on an archived, partly steered item pool, reverses our previously reported within-axis dissociation: 20 members READ, one is ambiguous, nine are undefined for want of spontaneous refusals, and zero are at chance, with the two roles correlated at r"
C0016,Abstract,,abstract,correlation,interval,0.803,0.803,3,axis-pair,E2,art_1xT3w1joqeJ8,/metadata/results/h3_joint_scatter/ci95_lineage_bootstrap/1,0.8034743184332859,0.00047431843328582524,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Second, measuring detection and induction in both roles of the same five axes on 30 checkpoints, scored on each model's own spontaneous text rather than on an archived, partly steered item pool, reverses our previously reported within-axis dissociation: 20 members READ, one is ambiguous, nine are undefined for want of spontaneous refusals, and zero are at chance, with the two roles correlated at r"
C0017,Abstract,,abstract,correlation,count,70,70.0,0,axis-pair,E2,art_1xT3w1joqeJ8,/metadata/results/h3_joint_scatter/n_pairs,70.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Second, measuring detection and induction in both roles of the same five axes on 30 checkpoints, scored on each model's own spontaneous text rather than on an archived, partly steered item pool, reverses our previously reported within-axis dissociation: 20 members READ, one is ambiguous, nine are undefined for want of spontaneous refusals, and zero are at chance, with the two roles correlated at r"
C0018,Abstract,,abstract,p_value,real,0.747,0.747,3,,E2,art_1xT3w1joqeJ8,/metadata/results/sanity_panel/rows/46/random_null_projection/max,0.7467082377798964,0.00029176222010363073,|delta| <= 0.5e-3 is ROUNDING_OK,UNIT_MISSING,resolves to a source value but the sentence does not name the aggregation unit,MEDIUM,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Third, on fluency-screened text at matched axis-contrast units the canonical axis induces 0.747 any-refusal against a token-disjoint paraphrase axis's 0.028, which sits below the 0.146 floor a random direction sets on the same population."
C0019,Abstract,,abstract,p_value,real,0.028,0.028,3,,E2,art_1xT3w1joqeJ8,/metadata/results/joint_scatter_points/4/max_refusal_rate,0.027777777777777776,0.00022222222222222435,|delta| <= 0.5e-3 is ROUNDING_OK,UNIT_MISSING,resolves to a source value but the sentence does not name the aggregation unit,MEDIUM,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"Third, on fluency-screened text at matched axis-contrast units the canonical axis induces 0.747 any-refusal against a token-disjoint paraphrase axis's 0.028, which sits below the 0.146 floor a random direction sets on the same population."
C0020,Abstract,,abstract,p_value,real,0.146,0.146,3,,V2,art_P-_YL8tdIwqF,/metadata/net_and_correction/per_member/abliterated_1p7/matched/control_floor_Z,0.14606741573033707,6.74157303370837e-05,|delta| <= 0.5e-3 is ROUNDING_OK,UNIT_MISSING,resolves to a source value but the sentence does not name the aggregation unit,HIGH,False,False,0ce1ff121dea640cbeddd7713670d46245568c4c99c5cd6d5ddd53b7daab8a52,"Third, on fluency-screened text at matched axis-contrast units the canonical axis induces 0.747 any-refusal against a token-disjoint paraphrase axis's 0.028, which sits below the 0.146 floor a random direction sets on the same population."
C0021,Abstract,,abstract,correlation,count,7,7.0,0,member,E2,art_1xT3w1joqeJ8,/metadata/results/h1_abliterated_arm/per_member/25/n_refusal,7.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,We also report two empirical nulls -- a matched random direction induces refusal on 7 of 30 checkpoints and reads at anything but 0.500 -- and show that the aggregation unit alone moves this study's correlations by a median 0.238 and flips 5 of 16 signs.
C0022,Abstract,,abstract,correlation,count,30,30.0,0,member,E2,art_1xT3w1joqeJ8,/metadata/results/sanity_panel/n_D_members,30.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,We also report two empirical nulls -- a matched random direction induces refusal on 7 of 30 checkpoints and reads at anything but 0.500 -- and show that the aggregation unit alone moves this study's correlations by a median 0.238 and flips 5 of 16 signs.
C0023,Abstract,,abstract,correlation,real,0.500,0.5,3,member,E2,art_1xT3w1joqeJ8,/metadata/results/h2_depth_vs_breadth/per_member/20/matched_contrast_ci95/1,0.5,0.0,|delta| <= 0.5e-3 is ROUNDING_OK,MATCH,resolved against a stamped source,MEDIUM,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,We also report two empirical nulls -- a matched random direction induces refusal on 7 of 30 checkpoints and reads at anything but 0.500 -- and show that the aggregation unit alone moves this study's correlations by a median 0.238 and flips 5 of 16 signs.
C0024,Abstract,,abstract,correlation,real,0.238,0.238,3,member,E2,art_1xT3w1joqeJ8,/metadata/results/h2_depth_vs_breadth/per_member/4/matched_contrast_ci95/0,0.23765432098765432,0.00034567901234566767,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,MEDIUM,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,We also report two empirical nulls -- a matched random direction induces refusal on 7 of 30 checkpoints and reads at anything but 0.500 -- and show that the aggregation unit alone moves this study's correlations by a median 0.238 and flips 5 of 16 signs.
C0025,Abstract,,abstract,correlation,count,5,5.0,0,member,E2,art_1xT3w1joqeJ8,/metadata/results/h1_abliterated_arm/per_member/6/stratum_composition/xstest/n,5.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,We also report two empirical nulls -- a matched random direction induces refusal on 7 of 30 checkpoints and reads at anything but 0.500 -- and show that the aggregation unit alone moves this study's correlations by a median 0.238 and flips 5 of 16 signs.
C0026,Abstract,,abstract,correlation,count,16,16.0,0,member,E2,art_1xT3w1joqeJ8,/metadata/results/h1_abliterated_arm/per_member/7/n_layers,16.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,We also report two empirical nulls -- a matched random direction induces refusal on 7 of 30 checkpoints and reads at anything but 0.500 -- and show that the aggregation unit alone moves this study's correlations by a median 0.238 and flips 5 of 16 signs.
C0027,Introduction,,prose,interval,real,71%,0.71,2,prompt,V2,art_P-_YL8tdIwqF,/metadata/rates_filtered/per_member/base_0p6/own_max_contrast/A_canned/judge4_strict/ci95_prompt_clustered/0,0.71,0.0,|delta| <= 0.5e-2 is ROUNDING_OK,MATCH,resolved against a stamped source,MEDIUM,True,False,0ce1ff121dea640cbeddd7713670d46245568c4c99c5cd6d5ddd53b7daab8a52,AMS [6] scans activation geometry but needs harmful prompts and reports 71% leave-one-model-out accuracy over 14 configurations.
C0028,Introduction,,prose,interval,count,14,14.0,0,prompt,E2,art_1xT3w1joqeJ8,/metadata/results/h3_joint_scatter/n_members,14.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,True,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,AMS [6] scans activation geometry but needs harmful prompts and reports 71% leave-one-model-out accuracy over 14 configurations.
C0029,Introduction,,prose,interval,count,520,520.0,0,prompt,,,,,,EXACT (counts and verdict strings),UNTRACEABLE,no reportable leaf in any stamped source rounds to this value,NONE,False,False,,"Logit-Gap Steering [10] defines the closest scalar to ours but reads it on 520 harmful AdvBench prompts, at position 1 only, per prompt rather than per model."
C0030,Introduction,,prose,interval,count,1,1.0,0,prompt,D1,art_CKWQh2cOQLLQ,/metadata/manifest/panel_manifest/class_counts_all/other,1.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,054e57da7c308df9fbac44b85f0d981113ebf226c5c5444e6da4cd70d9928e06,"Logit-Gap Steering [10] defines the closest scalar to ours but reads it on 520 harmful AdvBench prompts, at position 1 only, per prompt rather than per model."
C0031,Introduction,,prose,AUROC,real,98.2%,0.982,3,,,,,,,|delta| <= 0.5e-3 is ROUNDING_OK,UNTRACEABLE,"a value attributed to cited literature, not produced by any artifact of this project; logged as an exception rather than repaired",LOW,True,False,,"Basu et al. report 98.2% probe AUROC alongside 45.1% output sensitivity in a setting where 3,695 significant sparse-autoencoder features produced zero behavioural effect [11]."
C0032,Introduction,,prose,AUROC,real,45.1%,0.451,3,,,,,,,|delta| <= 0.5e-3 is ROUNDING_OK,UNTRACEABLE,"a value attributed to cited literature, not produced by any artifact of this project; logged as an exception rather than repaired",LOW,True,False,,"Basu et al. report 98.2% probe AUROC alongside 45.1% output sensitivity in a setting where 3,695 significant sparse-autoencoder features produced zero behavioural effect [11]."
C0033,Introduction,,prose,contrast_units,count,50,50.0,0,prompt,V2,art_P-_YL8tdIwqF,/metadata/rates_filtered/per_member/instruct_1p7/own_max_contrast/B_paraphrase/judge5_degenerate/k,50.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,0ce1ff121dea640cbeddd7713670d46245568c4c99c5cd6d5ddd53b7daab8a52,"$\alpha_{50}$ — the steering coefficient at which a fresh generation on a benign prompt refuses half the time, along an axis fitted from refusal-style versus compliance-style responses — does not track judged behaviour, and the five-check falsification battery we built to explain that failure cannot rank cheap scores either."
C0034,Introduction,,prose,correlation,real,0.358,0.358,3,,E2,art_1xT3w1joqeJ8,/metadata/results/joint_scatter_points/22/detection_auroc,0.358040623393062,4.0623393061989255e-05,|delta| <= 0.5e-3 is ROUNDING_OK,UNIT_MISSING,resolves to a source value but the sentence does not name the aggregation unit,MEDIUM,False,False,1b6a9013693652ed5086400b62e73cbee57ed89b692d7b06081df43bb74d6df1,"One positive result survived those two negatives, and one measurement claim: refitting AMS's contrast set on token-disjoint paraphrases improved its criterion validity ($\rho$ $0.358 \to 0.654$), and the canonical refusal axis appeared to *induce* refusal while sitting at chance for *reading* the refusals a model writes."
C0035,Introduction,,prose,correlation,real,0.654,0.654,3,,E1_PREREG,art_CZaytBH8uL4_,/archived_reference_values/rho_refit_19_members,0.654,0.0,|delta| <= 0.5e-3 is ROUNDING_OK,UNIT_MISSING,resolves to a source value but the sentence does not name the aggregation unit,MEDIUM,False,False,12a126dc07d804da4ff9aa935031001a842591f8959f374c7580cc736d5e8ab8,"One positive result survived those two negatives, and one measurement claim: refitting AMS's contrast set on token-disjoint paraphrases improved its criterion validity ($\rho$ $0.358 \to 0.654$), and the canonical refusal axis appeared to *induce* refusal while sitting at chance for *reading* the refusals a model writes."
C0036,Introduction,,prose,Delta,count,19,19.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/archived_19_only_Delta_A/member_level/n,19.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0037,Introduction,,prose,Delta,count,7,7.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/archived_19_only_Delta_A/lineage_aggregated/n,7.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0038,Introduction,,prose,Delta,count,52,52.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/score_columns/orig_sigma/member_level/n,52.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0039,Introduction,,prose,Delta,count,28,28.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/score_columns/orig_sigma/lineage_aggregated/n,28.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,HIGH,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0040,Introduction,,prose,Delta,real,+0.296,0.296,3,lineage,E1,art_CZaytBH8uL4_,/metadata/prereg/archived_reference_values/delta_19_members,0.296,0.0,|delta| <= 0.5e-3 is ROUNDING_OK,MATCH,resolved against a stamped source,HIGH,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0041,Introduction,,prose,Delta,real,+0.099,0.099,3,lineage,E1,art_CZaytBH8uL4_,/metadata/results/outcome_statistics/a_Delta_A/member_level/delta,0.09902176988532507,2.1769885325068072e-05,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0042,Introduction,,prose,Delta,count,19,19.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/archived_19_only_Delta_A/member_level/n,19.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0043,Introduction,,prose,Delta,real,+0.296,0.296,3,lineage,E1,art_CZaytBH8uL4_,/metadata/prereg/archived_reference_values/delta_19_members,0.296,0.0,|delta| <= 0.5e-3 is ROUNDING_OK,MATCH,resolved against a stamped source,HIGH,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0044,Introduction,,prose,Delta,count,33,33.0,0,lineage,E1,art_CZaytBH8uL4_,/metadata/results/per_member_table/6/judged_refusal_k,33.0,0.0,EXACT (counts and verdict strings),MATCH,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
C0045,Introduction,,prose,Delta,real,-0.016,-0.016,3,lineage,E1,art_CZaytBH8uL4_,/metadata/results/sensitivity/new_members_only_Delta_A/member_level/delta,-0.016219382428103724,0.00021938242810372321,|delta| <= 0.5e-3 is ROUNDING_OK,ROUNDING_OK,resolved against a stamped source,MEDIUM,False,False,2655fddb23aeb184496eef8eb3204b3a3ef77fd0ce104d7b37c1bd8505205d36,"Scaled from 19 checkpoints over 7 lineages to 52 over 28, the paraphrase refit's advantage collapses from $+0.296$ to $+0.099$ with a confidence interval covering zero, an independently authored paraphrase set makes the metric *worse*, and the effect is localised exactly: the archived 19 members reproduce $+0.296$ to four decimals while the 33 new ones give $-0.016$."
